StockCode,Description,TotalRevenue,QuantitySold,InvoiceCount,CustomerCount,AveragePrice,PopularityScore,AverageDailyDemand,SafetyStock,RecommendedStock,InventoryStatus,PriorityScore,PriorityRank
85123A,WHITE HANGING HEART T-LIGHT HOLDER,66845.65000000001,22757,3675,1331,2.947521727679747,4891425,37.6771523178808,7.5354304635761595,1137.8500000000001,Restock Immediately,40516.125,1
84879,ASSORTED COLOUR BIRD ORNAMENT,44302.67,26243,2134,946,1.688232044198895,2018764,43.44867549668874,8.68973509933775,1312.1499999999999,Restock Immediately,30213.435,2
85099B,JUMBO BAG RED RETROSPOT,38539.35,19168,2121,798,2.01512104283054,1692558,31.735099337748345,6.347019867549669,958.4,Restock Immediately,25179.674999999996,3
22423,REGENCY CAKESTAND 3 TIER,44534.26,3494,2020,1103,12.78180966469428,2228060,5.78476821192053,1.156953642384106,174.7,Monitor,23535.93,4
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,12175.79,46529,836,466,0.2666547192353644,389576,77.03476821192054,15.406953642384108,2326.4500000000003,Restock Immediately,20139.795000000002,5
47566,PARTY BUNTING,31450.69,6479,1558,785,4.85141407736208,1223030,10.72682119205298,2.1453642384105964,323.95000000000005,Restock Immediately,17826.045,6
22457,NATURAL SLATE HEART CHALKBOARD ,26676.76,9012,1522,850,2.967731421121252,1293700,14.920529801324504,2.984105960264901,450.6,Restock Immediately,16211.98,7
84991,60 TEATIME FAIRY CAKE CASES,15152.0,27580,1643,798,0.5519467455621302,1311114,45.66225165562914,9.13245033112583,1379.0000000000002,Restock Immediately,16009.6,8
21754,HOME BUILDING BLOCK WORD,28812.460000000003,4820,1661,654,5.986956004756243,1086294,7.9801324503311255,1.596026490066225,241.0,Monitor,15983.03,9
20727,LUNCH BAG  BLACK SKULL.,23216.4,14104,1873,687,1.6469807391983342,1286751,23.350993377483444,4.670198675496689,705.1999999999999,Restock Immediately,15976.800000000001,10
21931,JUMBO STORAGE BAG SUKI,23749.87,11922,1550,520,1.996074168797954,806000,19.73841059602649,3.9476821192052984,596.1,Restock Immediately,15555.535,11
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,23672.37,11904,1542,631,1.9984739214423697,973002,19.70860927152318,3.941721854304636,595.2,Restock Immediately,15533.585,12
21232,STRAWBERRY CERAMIC TRINKET BOX,20782.45,16649,1605,646,1.2512515188335358,1036830,27.564569536423843,5.512913907284769,832.45,Restock Immediately,15515.125,13
82494L,WOODEN FRAME ANTIQUE WHITE ,25411.42,8727,1601,612,2.933203463203464,979812,14.448675496688741,2.8897350993377486,436.35,Restock Immediately,15446.21,14
22469,HEART OF WICKER SMALL,22382.26,13569,1628,864,1.6522348711803474,1406592,22.46523178807947,4.493046357615895,678.45,Restock Immediately,15434.629999999997,15
22382,LUNCH BAG SPACEBOY DESIGN ,21932.2,13324,1803,756,1.6508360836083606,1363068,22.05960264900662,4.411920529801324,666.2,Restock Immediately,15114.5,16
20728,LUNCH BAG CARS BLUE,21839.33,13233,1698,682,1.6567402672864613,1158036,21.908940397350992,4.381788079470199,661.65,Restock Immediately,15025.965,17
21977,PACK OF 60 PINK PAISLEY CAKE CASES,13656.75,24856,1463,750,0.55408876933423,1097250,41.152317880794705,8.230463576158941,1242.8,Restock Immediately,14435.175,18
22470,HEART OF WICKER LARGE,23727.76,8032,1613,806,2.959582577132487,1300078,13.298013245033113,2.6596026490066227,401.6,Restock Immediately,14434.68,19
22077,6 RIBBONS RUSTIC CHARM,20439.87,12005,1299,675,1.7155421686746986,876825,19.875827814569536,3.9751655629139075,600.25,Restock Immediately,13956.435,20
