StockCode,Description,TotalRevenue,QuantitySold,InvoiceCount,CustomerCount,AveragePrice,PopularityScore
85123A,WHITE HANGING HEART T-LIGHT HOLDER,66845.65000000001,22757,3675,1331,2.947521727679747,4891425
22423,REGENCY CAKESTAND 3 TIER,44534.26,3494,2020,1103,12.78180966469428,2228060
84879,ASSORTED COLOUR BIRD ORNAMENT,44302.67,26243,2134,946,1.688232044198895,2018764
85099B,JUMBO BAG RED RETROSPOT,38539.35,19168,2121,798,2.01512104283054,1692558
47566,PARTY BUNTING,31450.690000000002,6479,1558,785,4.85141407736208,1223030
21754,HOME BUILDING BLOCK WORD,28812.460000000003,4820,1661,654,5.986956004756243,1086294
22457,NATURAL SLATE HEART CHALKBOARD ,26676.760000000002,9012,1522,850,2.9677314211212518,1293700
82494L,WOODEN FRAME ANTIQUE WHITE ,25411.420000000002,8727,1601,612,2.933203463203464,979812
22138,BAKING SET 9 PIECE RETROSPOT ,24034.94,4850,1571,1074,4.960056890012642,1687254
21931,JUMBO STORAGE BAG SUKI,23749.87,11922,1550,520,1.996074168797954,806000
POST,POSTAGE,23738.67,1279,878,272,19.25930523917995,238816
22470,HEART OF WICKER LARGE,23727.760000000002,8032,1613,806,2.959582577132487,1300078
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,23672.37,11904,1542,631,1.9984739214423697,973002
20727,LUNCH BAG  BLACK SKULL.,23216.4,14104,1873,687,1.6469807391983342,1286751
21755,LOVE BUILDING BLOCK WORD,22781.210000000003,3812,1379,642,5.982042857142858,885318
22469,HEART OF WICKER SMALL,22382.260000000002,13569,1628,864,1.6522348711803474,1406592
22382,LUNCH BAG SPACEBOY DESIGN ,21932.2,13324,1803,756,1.6508360836083606,1363068
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,21887.9,7410,1339,805,2.9582199710564403,1077895
20728,LUNCH BAG CARS BLUE,21839.329999999998,13233,1698,682,1.6567402672864613,1158036
85099F,JUMBO BAG STRAWBERRY,21183.77,10672,1308,515,1.990849128127369,673620
21733,RED HANGING HEART T-LIGHT HOLDER,21088.780000000002,7186,1420,683,2.9551933701657456,969860
82482,WOODEN PICTURE FRAME WHITE FINISH,20991.66,8188,1509,582,2.596762967826658,878238
21232,STRAWBERRY CERAMIC TRINKET BOX,20782.45,16649,1605,646,1.2512515188335358,1036830
22077,6 RIBBONS RUSTIC CHARM,20439.87,12005,1299,675,1.7155421686746986,876825
20726,LUNCH BAG WOODLAND,19920.26,12066,1503,572,1.6578688524590164,859716
85099C,JUMBO  BAG BAROQUE BLACK WHITE,19876.95,10042,1266,472,1.9856674473067915,597552
