CustomerID,Recency,Frequency,Monetary
12346.0,529,10,327.86
12347.0,2,8,3786.15
12348.0,75,5,823.8
12349.0,19,3,2843.9900000000002
12350.0,310,1,334.40000000000003
12351.0,375,1,300.93
12352.0,36,9,1849.54
12353.0,204,2,406.76
12354.0,232,1,971.24
12355.0,214,2,633.8100000000001
12356.0,23,6,1657.22
12357.0,33,2,3517.16
12358.0,2,5,975.97
12359.0,58,10,6181.9400000000005
12360.0,52,7,3266.19
12361.0,287,4,511.25
12362.0,3,10,4600.53
12363.0,110,2,413.28
12364.0,8,4,1203.3
12365.0,291,1,320.69
12367.0,4,1,168.9
12368.0,628,1,198.4
12369.0,413,3,1442.43
12370.0,51,7,2886.9
12371.0,60,4,3043.58
12372.0,72,3,836.94
12373.0,311,3,967.6500000000001
12374.0,25,3,1327.21
12375.0,11,2,395.1
12376.0,390,2,183.15
12377.0,315,4,2723.26
12378.0,130,2,5137.38
12379.0,82,4,1454.02
12380.0,22,8,4719.360000000001
12381.0,5,5,1457.31
12383.0,185,5,1413.22
12384.0,29,2,425.27000000000004
12385.0,379,1,1076.3
12386.0,367,1,144.3
12387.0,415,1,143.94
12388.0,16,8,2485.2400000000002
12389.0,403,3,726.23
12390.0,80,1,504.84000000000003
12391.0,22,5,2250.14
12392.0,591,1,93.15
12393.0,72,6,1911.3500000000001
12394.0,64,2,420.92
12395.0,19,15,3990.87
12396.0,674,1,931.4300000000001
12397.0,36,2,2036.4
12398.0,46,1,1311.76
12399.0,119,7,1751.25
12400.0,414,1,205.25
12401.0,303,1,84.3
12402.0,323,6,1256.9
12403.0,50,2,81.9
12405.0,149,1,906.49
12406.0,22,5,2644.01
12407.0,50,5,1292.68
12408.0,33,8,2253.91
12409.0,79,5,1747.37
12410.0,309,3,773.71
12411.0,410,1,287.2
12412.0,75,6,1953.79
12413.0,67,4,841.75
12414.0,217,4,502.81
12415.0,25,18,3423.69
12416.0,657,1,202.56
12417.0,3,20,5913.21
12418.0,113,4,1293.25
12419.0,386,2,368.01
12420.0,64,1,600.39
12421.0,16,6,986.6
12422.0,96,14,2684.37
12423.0,1,10,2386.4700000000003
12424.0,163,4,1284.39
12425.0,78,2,1447.51
12426.0,195,2,1201.21
12427.0,22,3,471.16
12428.0,26,8,4930.4800000000005
12429.0,9,8,2123.55
12430.0,43,1,208.6
12431.0,60,21,6484.58
12432.0,43,4,1055.12
12433.0,1,10,8534.41
12434.0,85,3,1010.83
12435.0,268,4,870.0
12436.0,100,1,286.36
12437.0,2,38,9999.73
12438.0,14,2,1534.65
12439.0,683,2,1142.88
12440.0,462,2,491.05
12441.0,367,1,173.55
12442.0,3,1,172.06
12443.0,732,1,365.31
12444.0,21,5,3030.71
12445.0,22,2,378.98
12446.0,58,1,1002.3100000000001
12447.0,243,1,431.49
12448.0,44,1,300.45
12449.0,22,5,3279.41
12450.0,156,5,622.2
12451.0,11,8,8777.07
12452.0,17,1,304.67
12453.0,134,1,707.09
12455.0,73,10,3716.9900000000002
12456.0,44,3,1971.76
12457.0,86,4,1561.41
12458.0,71,4,1381.79
12459.0,605,1,398.36
12460.0,456,1,326.65
12461.0,155,1,436.08000000000004
12462.0,19,2,937.59
